source,target,weight
10152509768162762,10204151417483705,2
516607511794581,254669374951543,2
937997262881782,10202813513193588,2
727428253979649,10202765637933397,1
573843452717932,1426536614319642,1
362835730532486,10205853466246017,5
10203424458920283,10152261219616593,3
10204060210457615,10204520298625729,3
682244605222389,879937602096519,4
1068342243229906,1142853949082252,1
10152424342915939,10205187833516032,1
837711209575349,10154227230877709,1
10202893863089900,406553056185178,1
10200810558622081,470330556457295,2
10206506471688998,801594966518587,2
914380861989694,490419377978989,1
924163304295110,881701655174183,1
636627603147443,10207675273704735,7
744164595727624,758557180892262,1
823952314306108,10153377803307785,2
10204175042632457,10154025699405648,1
561536597305185,1414975922097514,1
583211718478320,1109308215795986,6
863836157029105,929184717116108,2
4201496252644,786977504688163,1
10203798105782734,10152384121110965,3
10201563957010894,10204380253447762,1
638622899609373,900674453294279,6
769985449749812,309999129148800,1
10204589636442917,10203540981106176,1
990299724354805,880683048609712,1
160254087692483,788998054490411,3
1673100323005366,829480450561843,2
989678304395147,10152717323037291,1
10205522835415843,920266074747718,1
695639393860680,1402506419776339,4
854429297905319,1368819899817684,1
649753968454626,869099433141967,2
559755440839114,334281900070556,2
545255385594158,812211482167782,1
448313482023522,166424143691493,3
621971587956059,486620158142143,1
10206140808988638,10203782908351575,5
1018197454872406,1120098784667558,2
1387110654917325,622583107857379,1
617427651708553,714676328602248,1
1021432557871386,10204784480513079,1
766415693465380,685164861575840,2
1660939167523907,1584086258492415,6
884685784875917,750077735084819,1
966537783367198,10202175656832222,1
365225553672608,668963576532778,1
10203717271882100,10202210199643530,1
156426878193693,884296991619736,3
684147141729013,154403731624482,4
10205501198241822,10204122462119045,1
897591690285685,400534413436188,2
776128915763465,786242058067469,3
542604115840012,1052208548163336,4
10153207806298916,4554251632420,2
899652456736420,716204208451404,2
1154612134596130,932487246767912,6
333991686798811,418260104991681,2
10204657642189374,970005896360358,1
812550648814667,187272084969162,4
10203310963312198,702703869788653,7
1442606069367088,186195448389101,2
10152151370874773,950914978258085,1
769690236387858,576879942418371,1
448270231996449,668643583265450,14
877925312238846,703900369662040,1
970980009644540,1424922044499262,1
10205410254802364,10204460872179786,1
639860396090241,10203206825038908,2
449840601813671,702553596551552,1
704479109590930,1212183568807625,2
1831471260411434,10201652882962953,1
390736724466542,822478747840845,2
1008392975857416,10202494620122640,2
10204509502452281,1134912653237702,1
10202314757065432,785578371514367,1
10202824510675652,10204333428635478,1
786920501396289,852101278147859,4
959576767508298,987444564686190,2
1105903499464376,1476214972704420,1
645411142204247,976480559042848,1
1076171389120836,1098147923539217,2
10203602848261851,1229420793757689,3
10204305430578168,10207675737354080,28
10204483513105523,212051522461582,2
10204987407716500,427467377405014,4
1145758572106688,10152330953172488,4
1656123991270654,1672115279673957,1
354189048079189,1559276374317269,5
10205647997662752,704263336284215,1
800265123392957,10208619580278477,1
1521555741462661,746177405418624,1
659031814134505,841718059214318,1
1308537082505953,1544384455778143,1
10205325036469348,987444564686190,2
10204166232109438,1790188897871915,5
979702742062333,10202456229990790,1
1597152090506174,1562645777312251,1
788551124522048,10202603899271404,1
857740114270749,834711583338930,1
10202221194326052,10202945070422603,1
753754314664001,878574112166369,2
10152280445396446,10205358671066576,1
929135270454427,988834584547941,3
1083360918360237,10203496344847623,1
829833423704868,812955272110550,1
10206088676365522,10204120519246849,3
900183193339999,821486737891158,3
318674601614038,1188413547875519,1
1669118426650148,217944585337764,1
875418599177603,1303522273007025,2
10203889648033964,647035002070813,1
157914427993043,10205607819864757,1
383428201822605,10152388156372079,1
10152068432097285,10203341559649158,2
352315911635549,957306614358511,1
998846833512345,705870682783761,1
506234012863026,1566735816923695,1
10202345132470136,902015859889910,4
1713857758884306,1991618134397519,4
736628393068784,10206098948105461,2
10202207768417203,1053007681392642,1
10203572899630833,829513433771580,2
1477630769163032,536455643161185,1
822078944497883,1320515807979892,2
948439615202301,826992684018705,4
1563466833914865,913608861985380,1
10204582652305265,10201929409587776,1
1020404988004135,10202326762723950,17
10204616750398666,1587368354844791,1
10204050593576247,10206296614401968,1
1515902118622237,10203417384666553,2
579791472151856,888398991287268,1
857073737670499,871932372835570,2
630012990441564,1413549252254972,1
406510456176002,1489532927963140,6
723233347744665,10202022093554388,3
10152188691509340,956606451016957,2
247177422397312,994891653933318,6
1129007730448668,931462436882303,1
1216502768365271,888992577811643,3
835848339780082,10209921427186756,1
887267474629709,895071677214877,1
437280366428865,867298883307794,1
10204282456958518,777887855582931,2
10202172374823062,10203576548031471,1
10203428084675532,10207992560878010,1
10201353950210314,742515275783557,2
1051140891597783,790511327723360,1
10205154270563383,872407342771242,6
639860396090241,4716246362313,9
10203787475920539,665191616850268,1
1059215710760998,832949236726311,2
826588540686698,10208495770369913,5
813460975369130,824507930925722,1
10203924466266002,10205493691800543,1
711864872206924,650538205029132,1
450589435083316,709380985784356,1
779130422112274,645037522232109,3
751593018271255,809515832453890,1
10202774847275753,10153627757654012,12
10203262548279237,1018937521455036,1
518167381657056,475072129300321,1
900134139998653,1482115792103716,1
816610661730699,10206582740192619,4
498542173661757,873149512777097,1
195045814228615,820017154723116,2
10204200122216084,10204564178693264,4
10152257829887066,752536298128918,1
835848339780082,818454288187712,8
10201423160659331,10205068676183748,1
10204695200967021,10204014019741435,1
10203826496415022,822206507814917,2
415101241971695,921652407850153,1
10204229897889136,10202122959670478,3
1016048508447104,10203721849041283,1
1080572758623761,707222499410064,3
965807310136592,527967654016688,1
1550953161847529,684068358336931,1
968648813152486,1011121978979311,1
1035353189827158,831792643538355,1
683737791695534,10158868149695601,13
1057799657570204,763527573692483,1
10205296119503192,10204443313913612,1
10203627028296072,919834518026897,1
370911539912575,902661086475270,4
10203026910858105,843106712384375,2
840410909315012,763828683697158,4
514271675402993,471293749692615,1
1098130740202795,1552502531431864,4
861335040554127,832722126741798,3
1421433941452882,955531801128941,1
818911458187642,799512870118293,12
163371874094830,857339007653858,5
865539770163446,280934695417520,4
1212183568807625,749723245085302,1
952077484823973,10204327095040546,1
114879542197285,266779153493811,1
1584262005174294,380377075465469,2
10202952827613028,914278091940890,1
1700658940201971,154403731624482,6
10204140698271454,1075083912521859,8
839865126063924,647841418660133,1
1075890705755377,957949587569312,1
10201769250100140,459554550843694,1
467608583380368,1776242095980374,2
10203357969846747,10205766767954905,4
838034589582134,10152630169731360,1
1529744570638775,953739107998947,1
860073870729437,1464388510542669,1
10201637924029537,651792514936161,2
765308396822573,797390796945887,2
1585297901747640,1532287533683361,1
910246572349253,10209373487951347,1
10201752563614145,10201764532273545,1
812250802159781,719948898058366,3
148759972122117,770982652964539,8
219898204886410,4105203964962,1
933792096664271,1037937436303053,4
671370819564622,775411895839854,2
1459633810988016,835275499845455,2
719036001563308,1531141503800919,6
139785313198269,804967196240212,1
1312631738829308,708394195982139,1
878057632212336,314246349023010,1
1033625976653861,850380611662514,2
621325924630746,147428775673887,22
10204650690251433,10204262023943399,1
240923222925723,920856577931077,6
1043893272334183,1084063678272480,1
944685975588989,878898138872889,2
803027463042639,10206205192742827,1
10203507722150538,795707140505100,1
873961769345721,754279641327314,2
10152068432097285,10206561068202112,2
10203106671524145,10203201541054622,1
680781628653214,10203248464229111,1
10200309984310072,1052466694768720,2
875013152547188,909241209098975,3
10151977812915947,753428611404630,1
10203174745842057,642679765851551,1
10200964427871717,10152555754402921,6
10202903781509947,982259631799704,1
10203830127228121,10202439318486091,5
772995389485952,10152475785719574,4
417992351703859,739711536193808,1
312260022315921,1535623920014290,1
705252886184015,10204436363928426,1
10204021482880766,10205167148961158,1
10152137411582956,10152175663173366,2
792450120845765,810237379010246,1
253399251747250,237581680029893,2
1540749296171554,817749184969253,2
1158890924140668,1989979674562790,1
10204587161662228,752738511435106,1
10202515160657506,10203864618085875,1
989518361062125,769931156436757,2
785578371514367,10207097101488602,2
725967020773451,932100650189648,1
10202723924879750,10202585007803447,2
876503602394781,868078716557278,1
882379645157031,10202133467457966,3
473779029446788,984536988238867,2
639759812744059,377325169136651,1
691232917613445,1933099740258183,2
803504019761559,382883891900149,1
797862020249395,683964095041130,2
977184398974462,732551910171070,1
730392580316949,921236241283321,1
1054923317864435,1131510556865444,1
453573604804052,10205469945291967,1
1037379646291346,783146338472259,3
746579752057762,10202710892291695,1
10205136117307884,10152515628956592,1
952077484823973,747110562000227,2
545255385594158,730979193653398,4
299831133536871,208607559586589,2
867411879936651,766165916805445,3
324307027763489,840078416045515,1
856404531114903,1675996505746215,1
10202450214149421,10205010880503669,1
738782022866186,559179344185373,2
1001379696580954,1240966272584148,1
10209846546660412,779249212142020,3
295727383971544,694353963992903,1
648027775279944,269824283408725,2
613952965400613,10206819221198994,1
619051534906099,870049086340428,1
1084063678272480,10202591888610919,1
845769822116258,746174778786624,1
563301120473952,10203063282577802,3
136622026707280,687957797954539,1
1263702533693710,827934657253398,1
854381727908965,807777519242533,6
10152272458387314,10203169264490611,2
704156012972708,1492039954450316,2
1666019893617950,1600365000192788,1
650298885083460,286147694880385,6
220106028453995,808574902525734,1
669198513181062,10202287268863017,5
10203321731195132,503586446460175,4
10202839320214211,1011313558939187,2
10204997393163895,10201909241371497,3
731709893627428,927515407273277,1
611399182288428,824967110866296,1
4679197315289,759454847426004,2
1004933756257199,852153054880810,1
685600228185380,880687348671933,8
859085880771745,10203226103428950,1
776817619048903,742293009170708,2
1031828860219064,963870486960375,1
900284870029970,558423687634152,1
948115105287252,966410906786946,6
10153488625472920,996694190345261,2
897494290263541,10203124667334311,1
188538614810725,1495950634054608,2
753762814644215,709545989102677,1
10206714859978507,10202340720172815,1
1092141084172524,1459687117684088,2
731787570248975,10202816497323369,3
661893017180338,809545172429702,24
660033964046616,609753882433767,3
619309304844436,748023698617783,2
846647608697785,10154890861980182,3
795046687202927,10208867314373239,1
330416230456296,1276507555745374,3
787121757965954,701031996618310,1
10202301184931310,700694200016713,3
664141070325862,295034534226167,1
10204062616781676,10202189227516238,4
10205183544690195,742844285766678,2
10152323797023672,10154863905375481,1
1535623920014290,4925544513204,1
810433635658292,1534562826557092,5
748512705284003,617576978392312,3
10203787504756682,1147132608670902,2
589462844492493,866322696734863,1
1435357493156427,896442140376904,1
767470056597087,919500344739654,1
10204545740747159,588108077981797,4
202015056860499,1165712166802473,1
785303191494234,986743344695336,1
10202236300901574,10203075392472189,2
10202221621502216,952240141462174,2
480052482136579,959764750718220,1
711672108964543,688084071240217,4
10202924216279728,10152026397992027,1
1060741800617895,1144909338869643,26
10203381289146903,10203695807336847,2
10204543583023107,10201852281147323,6
10204493116915908,828951030513869,4
821209054659127,849535118411256,1
648151551962956,805763609482100,1
10205417844303075,10205134803393392,2
949371801750429,1709589579260729,1
10204953776512061,1565547010341266,1
1011192245581758,1532351193740091,1
481264448640734,555260344676024,15
893647357378306,10203905496382073,1
265818587111557,965956960134823,2
10202104224597899,1228477683844150,3
10205656744037513,10152399918397960,4
810702272274418,10152661435048850,1
357547674410259,814202848599138,11
1477834172539767,717047938385200,1
685357224893759,1276157852401384,1
10206603252213503,10204042375452180,1
687695201390678,825871484148874,2
648426101934633,10202974614703875,2
1088708001153809,10205396735271552,3
821753701215644,585203698290850,1
4900326522863,278653769159452,1
10200228821398743,723973637676070,7
892306104144085,863568460338652,3
989839211053310,1043761802314872,12
1053351714676790,1030393016980705,1
10203875732111691,704360836334433,1
822530214442011,920874371311760,1
447731898701326,1136458943072603,1
714676328602248,756804211091665,1
789889837741216,1311061608911112,2
1008117409277509,878353912198302,1
10203807356117700,10201366070672155,1
878360708855332,604100306359825,1
894109153935325,911990002145432,6
885627558167455,10152068432097285,1
10152459223606747,10205086766429597,1
10152878669033662,1442085489364898,1
10203249865871665,10201696793932883,2
10201543653665092,699247090133080,1
996177017069176,1086121398074740,7
856806737675617,1217401791619049,4
657565037648243,10203928186579144,1
4085844400727,10203670071608322,4
1075415659139802,10201110193235643,2
906225659390976,804740309584938,2
747202851983172,1552977081583754,2
1231000076912080,984640074988272,3
455300751295017,1555082984776099,1
10154980933220461,730808847024137,2
714037322023081,950951291610241,5
604434533024245,1047873368571281,1
645722845528996,866720693346151,1
1084189854976249,10202173041196193,14
475959465895446,895929143834385,1
919570094748141,10203834255721407,3
841434809221000,695510203889370,8
839475712739883,10152867855944643,1
10202781070665207,10203395066698567,4
613837428765498,800978149962009,1
819422538109338,112511408718,1
688219757972419,1025373924218098,4
4266495398069,10200165279529983,1
10205068676183748,10156673276315529,2
975718189105087,170699563281632,3
1548830768760382,100889766913569,3
807845532609254,10153772491257884,1
501558403314673,1766820663545472,2
683629278340651,847697071941338,1
10202949000992759,766137553423279,1
839270339429114,1591471081067588,1
4103591283381,653866974723206,1
641485645953351,1051444488263569,2
1485224048474034,445758498932411,1
580227998785085,745891155461317,3
10153563387277028,859643930735880,1
938495269566840,667355369998330,1
10203601254087344,981694461903611,1
10204616750398666,10204640694289668,4
741187675969694,1015921671753406,2
545027978969248,502902189855890,3
872092389474886,10202415763860873,9
785073158180938,10202099550409185,5
870965102916198,109466999072174,1
611399182288428,686006641500852,2
10201797890308254,587048208131751,2
864062396939874,755946627790186,3
937922192900113,875522885875529,1
10203810563523175,753647491373445,1
10202934105459030,745697272163974,1
922718597811438,1816863975236654,1
899770906714566,1169710769716744,10
1683382118560730,672846092769740,1
941640585858712,10208859005139341,2
750374345016872,252783765096944,2
10152412026323061,10154635659620387,1
10204537473551086,725569694187883,3
907729435905069,10204778267878606,1
1010211925662021,761874900534385,2
10203685986362503,10204387838433027,1
10151962676926286,10203021023981806,2
912918155437635,882129541862391,7
1594830490746448,768457633226590,1
10202452398666252,10103993769954810,1
698974346914390,10205471193252622,4
971613129557179,10204533264790865,3
10202877757743294,737750062990790,2
736367293087577,10202308178506191,2
1493417634277320,933113563385867,1
10204543583023107,10202726163976366,1
10202082635826089,945509478812316,4
10202994608761457,10203219651912575,2
824522867559382,10204096574247154,1
845769822116258,1148927488457328,7
961768130519488,1577063355916272,1
1141444779229054,758276074227822,3
1556444494593466,604592092994454,1
859085880771745,10206109071034234,1
758123547610228,489433321232031,1
691177560980556,889669324414024,1
10202936463386520,10205445786497526,1
413633145479705,902662696477978,4
898113206906524,699174763494984,1
891877767523679,847258061962299,3
1185440794818201,952808861423791,2
612871458817818,10205159443404220,1
10201870485803508,1509146635765790,1
915593221802767,10204620242886952,1
493693397423236,859722370715731,23
1084063678272480,958798864131710,6
1629076350673358,482386028557330,2
1076159199066792,841489302577247,1
393237370830486,10205081154617361,1
10205338192078400,874948099229427,1
759540480768108,550528748418271,1
1675433269350287,349819742072981,1
648780955198880,683260811740123,3
10153240156379115,891457260879529,3
10205718231808276,10203150704784029,1
496898933769690,10202611259791233,5
327586670742827,10206758977505335,3
10203764692021624,10204990396019589,1
10203814409413940,807560632608874,26
458771100930040,344705629036132,4
10204371328710995,10206926509830167,3
10152270864135592,1618876401732339,18
788571037841420,10203573214954078,1
1093925743956846,999736423394033,1
10204185359252023,10202962021425850,3
1711966112361916,1702612539979035,1
780716268638300,1036795696332528,3
939485942781930,690454584399865,2
933113563385867,1200560556651601,1
776844392350931,1441204272849270,1
10201005179010618,10152464436838215,1
1257079250987690,1552107355061803,1
959220727424509,10202091862256551,20
880159015366819,10206760833722327,2
10203933652129267,1630745753823095,1
520911031377509,391064767766334,1
1353750624640823,997380020275971,4
733661566686942,1449024975380026,2
1486298684967242,4949257106238,6
602974989815398,822255397809895,2
1005230606181663,692161467526962,1
1488662381421376,598652336929026,3
10204136267071559,865419140138791,1
720409864690928,473841292772447,1
705551642873420,423993644411975,1
10152460413389369,1043879135634501,1
589031571243118,838203989584909,6
10205410351596721,10207147099091809,2
998839036808187,678528192286001,2
440474669424922,1596234557281918,1
1138077952902569,1108618989166140,2
1129318643744978,10204962090632409,2
10204227856328078,10205663170401957,1
10206089046038758,942346509116410,1
10202221668822735,860205427399653,3
10202920179030036,948789458483156,1
752596708161880,751898748259841,1
957337944311983,10202538257017099,1
1441947529459488,888783911178852,4
10202662247702674,10202522646122843,2
10205299021736735,10202329293987377,1
553382318099508,415280021943928,2
573843452717932,1028726053845553,1
749807691734798,386944231445793,1
798079246871861,1027723200573770,2
720164698020779,734071163350824,1
10205371550631060,348413451988168,1
1228783740513348,411635952361020,1
10204558977880980,10204832561315334,1
10153535171391823,1464022973881793,1
917313401645429,10153377803307785,3
862054597191428,1523949647848011,4
274770382696907,10205750394504068,4
1168996149793865,10206428099366228,1
10200451292441201,10203585656534393,1
1547968475420796,953535764663450,1
10204019541991607,10152322425008528,1
1663490490542692,901246543228097,2
907783322568995,809118735833387,1
933102523368686,10206532380131932,2
820301228074168,1648520498712614,3
844948362211396,492172117582784,1
809719052399593,312260022315921,1
10152337725328903,1006555972791787,12
791395214205355,10203483811355310,1
912150055502758,950976318262983,2
10152696383162162,10203806118176444,1
680158178704853,916380275090689,1
1151785138217901,658422457578678,1
10202281906009278,10204766181345150,4
741087029246355,663592923717802,1
1842821006033474,647664512000767,1
10206074629613403,767532690000415,1
995651667116391,1027660340627931,7
769087693185106,1591357204422076,4
